timestamp,symbol,contract,side,contracts,entry_low,entry_high,score,status
2026-09-14T00:19:26,AMD,AMD 2026-10-16 170P,BUY,1,4.06,4.18,81.3,OPEN
2026-09-14T00:23:20,AMD,AMD 2026-10-16 170P,BUY,1,4.06,4.18,81.3,OPEN
